Neighbourhood,AppointmentCount,NoShowMean,Appointment_Score,ShowUp_Score,Popularity_Score
AEROPORTO,8,0.125,0.0010366722819748608,0.875,0.2632256705973824
ANDORINHAS,2262,0.23032714412024757,0.29311908772839185,0.7696728558797524,0.43608521817379997
ANT?NIO HON?RIO,271,0.18450184501845018,0.035117273551898406,0.8154981549815499,0.26923153798079386
ARIOVALDO FAVALESSA,282,0.2198581560283688,0.03654269793961384,0.7801418439716312,0.25962244174921906
BARRO VERMELHO,423,0.21513002364066194,0.05481404690942076,0.7848699763593381,0.27383082574439593
BELA VISTA,1907,0.20136339800734138,0.2471167552157574,0.7986366019926586,0.4125727092488277
BENTO FERREIRA,858,0.22494172494172493,0.1111831022418038,0.7750582750582751,0.31034565408674514
BOA VISTA,312,0.1858974358974359,0.04043021899701957,0.8141025641025641,0.2725319225286829
BONFIM,2773,0.1983411467724486,0.3593365297395361,0.8016588532275514,0.49203322678594064
CARATO?RA,2565,0.2304093567251462,0.3323830504081897,0.7695906432748538,0.46354532826818895
CENTRO,3334,0.21085782843431314,0.43203317351302317,0.7891421715656869,0.5391658729288222
COMDUSA,310,0.18064516129032257,0.04017105092652585,0.8193548387096774,0.2739261872614713
CONQUISTA,849,0.18845700824499412,0.1100168459245821,0.8115429917550059,0.3204746896737092
CONSOLA??O,1376,0.17223837209302326,0.17830763249967604,0.8277616279069767,0.3731438311218662
CRUZAMENTO,1398,0.21745350500715308,0.18115848127510692,0.7825464949928469,0.3615748853904289
DA PENHA,2217,0.19350473612990526,0.2872878061422833,0.8064952638700947,0.4430500434606267
DE LOURDES,305,0.1540983606557377,0.03952313075029156,0.8459016393442623,0.2814366833284828
DO CABRAL,560,0.15714285714285714,0.07256705973824025,0.8428571428571429,0.30365408467391103
DO MOSCOSO,413,0.22276029055690072,0.053518206556952184,0.7772397094430993,0.2706346574227963
DO QUADRO,849,0.16489988221436985,0.1100168459245821,0.8351001177856301,0.3275418274828965
ENSEADA DO SU?,235,0.22127659574468084,0.030452248283011532,0.7787234042553192,0.2549335950747038
ESTRELINHA,538,0.1970260223048327,0.06971621096280939,0.8029739776951673,0.28969354098251676
FONTE GRANDE,682,0.218475073313783,0.08837631203835687,0.781524926686217,0.29632089643271486
FORTE S?O JO?O,1889,0.18316569613552144,0.24478424258131398,0.8168343038644785,0.41639926096626334
FRADINHOS,258,0.18604651162790697,0.03343268109368926,0.813953488372093,0.2675889232772104
GOIABEIRAS,700,0.1957142857142857,0.09070882467280031,0.8042857142857143,0.30478189155667446
GRANDE VIT?RIA,1071,0.20261437908496732,0.13878450174938448,0.7973856209150327,0.336364837499079
GURIGICA,2018,0.2259663032705649,0.2615005831281586,0.7740336967294351,0.4152605172085415
HORTO,175,0.24,0.022677206168200077,0.76,0.24387404431774004
ILHA DAS CAIEIRAS,1071,0.21942110177404295,0.13878450174938448,0.780578898225957,0.33132282069235625
ILHA DE SANTA MARIA,1885,0.19151193633952254,0.24426590644032656,0.8084880636604774,0.4135325536063718
ILHA DO BOI,35,0.08571428571428572,0.004535441233640016,0.9142857142857143,0.27746052314926223
ILHA DO FRADE,10,0.2,0.001295840352468576,0.8,0.240907088246728
ILHA DO PR?NCIPE,2266,0.23477493380406,0.2936374238693793,0.76522506619594,0.4351137165673475
ILHAS OCE?NICAS DE TRINDADE,2,1.0,0.0002591680704937152,0.0,0.00018141764934560063
INHANGUET?,1057,0.19110690633869443,0.13697032525592848,0.8088930936613056,0.3385471557775416
ITARAR?,3514,0.2626636311895276,0.45535829985745757,0.7373363688104724,0.5399517205433619
JABOUR,2509,0.17975288959744917,0.32512634443436567,0.8202471104025508,0.47366257422482116
JARDIM CAMBURI,7717,0.18984061163664637,1.0,0.8101593883633537,0.943047816509006
JARDIM DA PENHA,3877,0.16275470724787205,0.5023973046520669,0.8372452927521279,0.6028517010820852
JESUS DE NAZARETH,2853,0.24395373291272346,0.3697032525592847,0.7560462670872765,0.4856061569176823
JOANA D?ARC,1427,0.1807988787666433,0.18491641829726577,0.8192011212333568,0.3752018291780931
JUCUTUQUARA,694,0.19164265129682997,0.08993132046131916,0.80835734870317,0.3054591289338744
M?RIO CYPRESTE,371,0.14555256064690028,0.04807567707658417,0.8544474393530997,0.28998720575953885
MARIA ORTIZ,5805,0.20999138673557277,0.7522353246080083,0.7900086132644273,0.7635673112049339
MARU?PE,1902,0.22292323869610936,0.24646883503952313,0.7770767613038907,0.4056512129188334
MATA DA PRAIA,644,0.17080745341614906,0.08345211869897629,0.829192546583851,0.3071742470644387
MONTE BELO,824,0.20145631067961164,0.10677724504341066,0.7985436893203883,0.3143071783265039
MORADA DE CAMBURI,96,0.16666666666666666,0.01244006738369833,0.8333333333333334,0.2587080471685888
NAZARETH,135,0.21481481481481482,0.017493844758325775,0.7851851851851852,0.24780124688638358
NOVA PALESTINA,2264,0.1775618374558304,0.2933782557988856,0.8224381625441696,0.4520962278224708
PARQUE INDUSTRIAL,1,0.0,0.0001295840352468576,1.0,0.3000907088246728
PARQUE MOSCOSO,802,0.2231920199501247,0.10392639626797978,0.7768079800498753,0.3057908714025484
PIEDADE,452,0.19469026548672566,0.05857198393157963,0.8053097345132744,0.28259330910608804
PONTAL DE CAMBURI,69,0.17391304347826086,0.008941298432033173,0.8260869565217391,0.25408499585894495
PRAIA DO CANTO,1035,0.18357487922705315,0.1341194764804976,0.8164251207729468,0.33881116976823233
PRAIA DO SU?,1288,0.22826086956521738,0.16690423739795257,0.7717391304347826,0.3483547053090016
REDEN??O,1553,0.17707662588538314,0.20124400673836984,0.8229233741146169,0.38774781695124394
REP?BLICA,835,0.17125748502994012,0.10820266943112608,0.8287425149700599,0.3243646230928062
RESIST?NCIA,4431,0.20446851726472579,0.5741868601788259,0.7955314827352742,0.6405902469457604
ROM?O,2214,0.2140921409214092,0.2868990540365427,0.7859078590785908,0.4366016955491571
S?O BENEDITO,1439,0.19944405837387075,0.18647142672022807,0.8005559416261292,0.37069678119199834
S?O CRIST?V?O,1836,0.1977124183006536,0.23791628871323053,0.8022875816993464,0.4072276766090653
S?O JOS?,1977,0.21648963075366717,0.25618763768303743,0.7835103692463328,0.414384457152026
S?O PEDRO,2448,0.21037581699346405,0.3172217182843074,0.7896241830065359,0.45894245770097597
SANTA CEC?LIA,448,0.27455357142857145,0.058053647790592196,0.7254464285714286,0.2582714820248431
SANTA CLARA,506,0.2648221343873518,0.06556952183490994,0.7351778656126482,0.2664520249682314
SANTA HELENA,178,0.20786516853932585,0.02306595827394065,0.7921348314606742,0.2537866202299607
SANTA L?CIA,438,0.1963470319634703,0.05675780743812362,0.8036529680365296,0.2808263556176454
SANTA LU?ZA,428,0.17990654205607476,0.055461967085655046,0.8200934579439252,0.2848514143431361
SANTA MARTHA,3131,0.15841584158415842,0.4057276143579111,0.8415841584158416,0.5364845775752902
SANTA TEREZA,1332,0.2042042042042042,0.1726059349488143,0.7957957957957957,0.3595628932029087
SANTO ANDR?,2571,0.19758848697005058,0.33316055461967087,0.8024115130299494,0.4739358421427544
SANTO ANT?NIO,2746,0.17625637290604515,0.35583776078787094,0.8237436270939549,0.4962095206796961
SANTOS DUMONT,1276,0.2891849529780564,0.16534922897499027,0.7108150470219436,0.32898897438907626
SANTOS REIS,547,0.20475319926873858,0.0708824672800311,0.7952468007312614,0.2881917673154002
SEGURAN?A DO LAR,145,0.19310344827586207,0.01878968511079435,0.806896551724138,0.25522174509479745
SOLON BORGES,469,0.14712153518123666,0.06077491253077621,0.8528784648187633,0.2984059782171723
TABUAZEIRO,3132,0.18295019157088122,0.405857198393158,0.8170498084291188,0.5292149814039462
UNIVERSIT?RIO,152,0.21052631578947367,0.019696773357522353,0.7894736842105263,0.2506298466134235
VILA RUBIM,851,0.16568742655699178,0.1102760139950758,0.8343125734430082,0.32748698182945557
